,Country,Date,Cumulative,New Cases
0,Guinea,29-08-14,482,482
1,Guinea,05-09-14,604,122
2,Guinea,08-09-14,664,60
3,Guinea,12-09-14,678,14
4,Guinea,16-09-14,743,65
5,Guinea,18-09-14,750,7
6,Guinea,22-09-14,818,68
7,Guinea,24-09-14,832,14
8,Guinea,26-09-14,876,44
9,Guinea,01-10-14,950,74
10,Guinea,03-10-14,977,27
11,Guinea,08-10-14,1044,67
12,Guinea,10-10-14,1097,53
13,Guinea,15-10-14,1184,87
14,Guinea,17-10-14,1217,33
15,Guinea,22-10-14,1289,72
16,Guinea,25-10-14,1312,23
17,Guinea,29-10-14,1391,79
18,Guinea,31-10-14,1409,18
19,Guinea,05-11-14,1457,48
20,Guinea,07-11-14,1479,22
21,Guinea,12-11-14,1612,133
22,Guinea,14-11-14,1647,35
23,Guinea,19-11-14,1698,51
24,Guinea,21-11-14,1745,47
25,Guinea,26-11-14,1850,105
26,Guinea,01-12-14,1921,71
27,Guinea,03-12-14,1929,8
28,Guinea,10-12-14,2051,122
29,Guinea,15-12-14,2115,64
30,Guinea,17-12-14,2127,12
31,Guinea,22-12-14,2259,132
32,Guinea,23-12-14,2284,25
33,Guinea,24-12-14,2284,0
34,Guinea,26-12-14,2342,58
35,Guinea,29-12-14,2384,42
36,Guinea,30-12-14,2397,13
37,Guinea,31-12-14,2397,0
38,Guinea,02-01-15,2435,38
39,Guinea,05-01-15,2465,30
40,Guinea,06-01-15,2471,6
41,Guinea,07-01-15,2471,0
42,Guinea,08-01-15,2477,6
43,Guinea,09-01-15,2493,16
44,Guinea,12-01-15,2508,15
45,Guinea,13-01-15,2508,0
46,Guinea,14-01-15,2514,6
47,Guinea,15-01-15,2522,8
48,Guinea,16-01-15,2525,3
49,Guinea,19-01-15,2539,14
50,Guinea,20-01-15,2539,0
51,Guinea,21-01-15,2539,0
52,Guinea,22-01-15,2542,3
53,Guinea,23-01-15,2545,3
54,Guinea,26-01-15,2559,14
55,Guinea,27-01-15,2569,10
56,Guinea,28-01-15,2569,0
57,Guinea,29-01-15,2571,2
58,Guinea,30-01-15,2575,4
59,Guinea,02-02-15,2593,18
60,Guinea,03-02-15,2608,15
61,Guinea,04-02-15,2608,0
62,Guinea,05-02-15,2621,13
63,Guinea,06-02-15,2628,7
