,Country,Date,Cumulative,New Deaths
0,Guinea,29-08-14,287,287
1,Guinea,05-09-14,362,75
2,Guinea,08-09-14,400,38
3,Guinea,12-09-14,403,3
4,Guinea,16-09-14,429,26
5,Guinea,18-09-14,435,6
6,Guinea,22-09-14,465,30
7,Guinea,24-09-14,468,3
8,Guinea,26-09-14,481,13
9,Guinea,01-10-14,535,54
10,Guinea,03-10-14,562,27
11,Guinea,08-10-14,587,25
12,Guinea,10-10-14,598,11
13,Guinea,15-10-14,653,55
14,Guinea,17-10-14,671,18
15,Guinea,22-10-14,710,39
16,Guinea,25-10-14,732,22
17,Guinea,05-11-14,837,105
18,Guinea,07-11-14,850,13
19,Guinea,12-11-14,934,84
20,Guinea,14-11-14,958,24
21,Guinea,19-11-14,982,24
22,Guinea,21-11-14,998,16
23,Guinea,26-11-14,1050,52
24,Guinea,01-12-14,1102,52
25,Guinea,03-12-14,1117,15
26,Guinea,10-12-14,1207,90
27,Guinea,15-12-14,1255,48
28,Guinea,17-12-14,1262,7
29,Guinea,22-12-14,1323,61
30,Guinea,23-12-14,1344,21
31,Guinea,24-12-14,1344,0
32,Guinea,26-12-14,1385,41
33,Guinea,29-12-14,1422,37
34,Guinea,30-12-14,1433,11
35,Guinea,31-12-14,1433,0
36,Guinea,02-01-15,1463,30
37,Guinea,05-01-15,1488,25
38,Guinea,06-01-15,1499,11
39,Guinea,07-01-15,1499,0
40,Guinea,08-01-15,1504,5
41,Guinea,09-01-15,1515,11
42,Guinea,12-01-15,1523,8
43,Guinea,13-01-15,1523,0
44,Guinea,14-01-15,1530,7
45,Guinea,15-01-15,1537,7
46,Guinea,16-01-15,1541,4
47,Guinea,19-01-15,1556,15
48,Guinea,20-01-15,1557,1
49,Guinea,21-01-15,1557,0
50,Guinea,22-01-15,1560,3
51,Guinea,23-01-15,1561,1
52,Guinea,26-01-15,1574,13
53,Guinea,27-01-15,1578,4
54,Guinea,28-01-15,1578,0
55,Guinea,29-01-15,1579,1
56,Guinea,30-01-15,1581,2
57,Guinea,02-02-15,1595,14
58,Guinea,03-02-15,1597,2
59,Guinea,04-02-15,1597,0
60,Guinea,05-02-15,1600,3
61,Guinea,06-02-15,1608,8
62,Guinea,10-02-15,1643,35
63,Guinea,11-02-15,1643,0
64,Guinea,12-02-15,1651,8
65,Guinea,13-02-15,1659,8
66,Guinea,16-02-15,1678,19
67,Guinea,17-02-15,1683,5
68,Guinea,18-02-15,1683,0
69,Guinea,19-02-15,1686,3
70,Guinea,20-02-15,1688,2
71,Guinea,23-02-15,1699,11
72,Guinea,25-02-15,1704,5
73,Guinea,26-02-15,1714,10
74,Guinea,27-02-15,1721,7
75,Guinea,02-03-15,1735,14
76,Guinea,04-03-15,1735,0
77,Guinea,05-03-15,1749,14
78,Guinea,06-03-15,1755,6
79,Guinea,10-03-15,1778,23
80,Guinea,11-03-15,1778,0
81,Guinea,12-03-15,1792,14
82,Guinea,13-03-15,1797,5
83,Guinea,16-03-15,1821,24
84,Guinea,17-03-15,1829,8
85,Guinea,18-03-15,1829,0
86,Guinea,20-03-15,1846,17
87,Guinea,23-03-15,1863,17
88,Guinea,24-03-15,1865,2
89,Guinea,25-03-15,1865,0
90,Guinea,26-03-15,1875,10
91,Guinea,27-03-15,1878,3
92,Guinea,07-04-15,1919,41
93,Guinea,09-04-15,1921,2
94,Guinea,13-04-15,1928,7
95,Guinea,14-04-15,1932,4
96,Guinea,15-04-15,1932,0
97,Guinea,16-04-15,1934,2
98,Guinea,17-04-15,1937,3
99,Guinea,20-04-15,1942,5
100,Guinea,21-04-15,1943,1
101,Guinea,22-04-15,1943,0
102,Guinea,23-04-15,1947,4
103,Guinea,24-04-15,1950,3
104,Guinea,27-04-15,1959,9
105,Guinea,28-04-15,1962,3
106,Guinea,30-04-15,1966,4
107,Guinea,01-05-15,1968,2
108,Guinea,04-05-15,1970,2
109,Guinea,05-05-15,1971,1
110,Guinea,06-05-15,1971,0
111,Guinea,07-05-15,1972,1
112,Guinea,08-05-15,1972,0
113,Guinea,11-05-15,1976,4
114,Guinea,12-05-15,1977,1
115,Guinea,13-05-15,1976,-1
116,Guinea,14-05-15,1980,4
117,Guinea,15-05-15,1982,2
118,Guinea,18-05-15,1986,4
119,Guinea,19-05-15,1988,2
120,Guinea,20-05-15,1988,0
121,Guinea,21-05-15,1990,2
122,Guinea,22-05-15,1993,3
123,Guinea,25-05-15,1999,6
124,Guinea,26-05-15,2001,2
125,Guinea,27-05-15,2001,0
126,Guinea,28-05-15,2004,3
127,Guinea,29-05-15,2006,2
128,Guinea,01-06-15,2009,3
129,Guinea,02-06-15,2010,1
130,Guinea,03-06-15,2010,0
131,Guinea,04-06-15,2012,2
132,Guinea,05-06-15,2012,0
133,Guinea,08-06-15,2016,4
134,Guinea,09-06-15,2018,2
135,Guinea,10-06-15,2018,0
136,Guinea,11-06-15,2021,3
137,Guinea,12-06-15,2021,0
138,Guinea,15-06-15,2024,3
139,Guinea,16-06-15,2025,1
140,Guinea,17-06-15,2025,0
141,Guinea,18-06-15,2026,1
142,Guinea,19-06-15,2027,1
143,Guinea,22-06-15,2028,1
144,Guinea,23-06-15,2030,2
145,Guinea,24-06-15,2030,0
146,Guinea,25-06-15,2037,7
147,Guinea,26-06-15,2037,0
148,Guinea,29-06-15,2039,2
149,Guinea,30-06-15,2039,0
150,Guinea,01-07-15,2039,0
151,Guinea,02-07-15,2040,1
152,Guinea,03-07-15,2042,2
153,Guinea,06-07-15,2048,6
154,Guinea,07-07-15,2049,1
155,Guinea,08-07-15,2049,0
156,Guinea,09-07-15,2055,6
157,Guinea,10-07-15,2055,0
158,Guinea,13-07-15,2056,1
159,Guinea,14-07-15,2056,0
160,Guinea,15-07-15,2056,0
