Confirmed cases,,,,,,,,Confirmed Deaths,,,,,,,,,,,,,,,
Country,Date,Cumulative,New Cases,,,,,Country,Date,Cumulative,New Deaths,,,,,,,,,,,,
Guinea,29-08-14,482,482,14-08-14,0.41,,,Guinea,29-08-14,287,287,,,,,,,,,,,,
Guinea,05-09-14,604,122,14-09-14,0.16,,,Guinea,05-09-14,362,75,,,,,,,,,,,,
Guinea,08-09-14,664,60,14-10-14,1,,,Guinea,08-09-14,400,38,,,,,,,,,,,,
Guinea,12-09-14,678,14,14-11-14,0.17,,,Guinea,12-09-14,403,3,,,,,,,,,,,,
Guinea,16-09-14,743,65,14-12-14,0.07,,,Guinea,16-09-14,429,26,,,,,,,,,,,,
Guinea,18-09-14,750,7,15-01-15,0.05,,,Guinea,18-09-14,435,6,,,,,,,,,,,,
Guinea,22-09-14,818,68,15-02-15,0.03,,,Guinea,22-09-14,465,30,,,,,,,,,,,,
Guinea,24-09-14,832,14,15-03-15,0.02,,,Guinea,24-09-14,468,3,,,,,,,,,,,,
Guinea,26-09-14,876,44,15-04-15,0.02,,,Guinea,26-09-14,481,13,,,,,,,,,,,,
Guinea,01-10-14,950,74,15-05-15,0.02,,,Guinea,01-10-14,535,54,,,,,,,,,,,,
Guinea,03-10-14,977,27,15-06-15,0.01,,,Guinea,03-10-14,562,27,,,,,,,,,,,,
Guinea,08-10-14,1044,67,15-07-15,0.01,,,Guinea,08-10-14,587,25,,,,,,,,,,,,
Guinea,10-10-14,1097,53,15-08-15,0.01,,,Guinea,10-10-14,598,11,,,,,,,,,,,,
Guinea,15-10-14,1184,87,15-09-15,0.01,,,Guinea,15-10-14,653,55,,,,,,,,,,,,
Guinea,17-10-14,1217,33,15-10-15,0.01,,,Guinea,17-10-14,671,18,,,,,,,,,,,,
Guinea,22-10-14,1289,72,15-11-15,0.01,,,Guinea,22-10-14,710,39,,,,,,,,,,,,
Guinea,25-10-14,1312,23,15-12-15,0.01,,,Guinea,25-10-14,732,22,,,,,,,,,,,,
Guinea,29-10-14,1391,79,16-01-16,0.01,,,Guinea,05-11-14,837,105,,,,,,,,,,,,
Guinea,31-10-14,1409,18,16-02-16,0.01,,,Guinea,07-11-14,850,13,,,,,,,,,,,,
Guinea,05-11-14,1457,48,16-03-16,0.01,,,Guinea,12-11-14,934,84,,,,,,,,,,,,
Guinea,07-11-14,1479,22,16-04-16,0.01,,,Guinea,14-11-14,958,24,,,,,,,,,,,,
Guinea,12-11-14,1612,133,16-05-16,0.01,,,Guinea,19-11-14,982,24,,,,,,,,,,,,
Guinea,14-11-14,1647,35,16-06-16,0,,,Guinea,21-11-14,998,16,,,,,,,,,,,,
Guinea,19-11-14,1698,51,16-07-16,0,,,Guinea,26-11-14,1050,52,,,,,,,,,,,,
Guinea,21-11-14,1745,47,16-08-16,0,,,Guinea,01-12-14,1102,52,,,,,,,,,,,,
Guinea,26-11-14,1850,105,16-09-16,0.01,,,Guinea,03-12-14,1117,15,,,,,,,,,,,,
Guinea,01-12-14,1921,71,16-10-16,0,,,Guinea,10-12-14,1207,90,,,,,,,,,,,,
Guinea,03-12-14,1929,8,16-11-16,0.01,,,Guinea,15-12-14,1255,48,,,,,,,,,,,,
Guinea,10-12-14,2051,122,16-12-16,0,,,Guinea,17-12-14,1262,7,,,,,,,,,,,,
Guinea,15-12-14,2115,64,,,,,Guinea,22-12-14,1323,61,,,,,,,,,,,,
Guinea,17-12-14,2127,12,,,,,Guinea,23-12-14,1344,21,,,,,,,,,,,,
Guinea,22-12-14,2259,132,,,,,Guinea,24-12-14,1344,0,,,,,,,,,,,,
Guinea,23-12-14,2284,25,,,,,Guinea,26-12-14,1385,41,,,,,,,,,,,,
Guinea,24-12-14,2284,0,,,,,Guinea,29-12-14,1422,37,,,,,,,,,,,,
Guinea,26-12-14,2342,58,,,,,Guinea,30-12-14,1433,11,,,,,,,,,,,,
Guinea,29-12-14,2384,42,,,,,Guinea,31-12-14,1433,0,,,,,,,,,,,,
Guinea,30-12-14,2397,13,,,,,Guinea,02-01-15,1463,30,,,,,,,,,,,,
Guinea,31-12-14,2397,0,,,,,Guinea,05-01-15,1488,25,,,,,,,,,,,,
Guinea,02-01-15,2435,38,,,,,Guinea,06-01-15,1499,11,,,,,,,,,,,,
Guinea,05-01-15,2465,30,,,,,Guinea,07-01-15,1499,0,,,,,,,,,,,,
Guinea,06-01-15,2471,6,,,,,Guinea,08-01-15,1504,5,,,,,,,,,,,,
Guinea,07-01-15,2471,0,,,,,Guinea,09-01-15,1515,11,,,,,,,,,,,,
Guinea,08-01-15,2477,6,,,,,Guinea,12-01-15,1523,8,,,,,,,,,,,,
Guinea,09-01-15,2493,16,,,,,Guinea,13-01-15,1523,0,,,,,,,,,,,,
Guinea,12-01-15,2508,15,,,,,Guinea,14-01-15,1530,7,,,,,,,,,,,,
Guinea,13-01-15,2508,0,,,,,Guinea,15-01-15,1537,7,,,,,,,,,,,,
Guinea,14-01-15,2514,6,,,,,Guinea,16-01-15,1541,4,,,,,,,,,,,,
Guinea,15-01-15,2522,8,,,,,Guinea,19-01-15,1556,15,,,,,,,,,,,,
Guinea,16-01-15,2525,3,,,,,Guinea,20-01-15,1557,1,,,,,,,,,,,,
Guinea,19-01-15,2539,14,,,,,Guinea,21-01-15,1557,0,,,,,,,,,,,,
Guinea,20-01-15,2539,0,,,,,Guinea,22-01-15,1560,3,,,,,,,,,,,,
Guinea,21-01-15,2539,0,,,,,Guinea,23-01-15,1561,1,,,,,,,,,,,,
Guinea,22-01-15,2542,3,,,,,Guinea,26-01-15,1574,13,,,,,,,,,,,,
Guinea,23-01-15,2545,3,,,,,Guinea,27-01-15,1578,4,,,,,,,,,,,,
Guinea,26-01-15,2559,14,,,,,Guinea,28-01-15,1578,0,,,,,,,,,,,,
Guinea,27-01-15,2569,10,,,,,Guinea,29-01-15,1579,1,,,,,,,,,,,,
Guinea,28-01-15,2569,0,,,,,Guinea,30-01-15,1581,2,,,,,,,,,,,,
Guinea,29-01-15,2571,2,,,,,Guinea,02-02-15,1595,14,,,,,,,,,,,,
Guinea,30-01-15,2575,4,,,,,Guinea,03-02-15,1597,2,,,,,,,,,,,,
Guinea,02-02-15,2593,18,,,,,Guinea,04-02-15,1597,0,,,,,,,,,,,,
Guinea,03-02-15,2608,15,,,,,Guinea,05-02-15,1600,3,,,,,,,,,,,,
Guinea,04-02-15,2608,0,,,,,Guinea,06-02-15,1608,8,,,,,,,,,,,,
Guinea,05-02-15,2621,13,,,,,Guinea,10-02-15,1643,35,,,,,,,,,,,,
Guinea,06-02-15,2628,7,,,,,Guinea,11-02-15,1643,0,,,,,,,,,,,,
Guinea,10-02-15,2674,46,,,,,Guinea,12-02-15,1651,8,,,,,,,,,,,,
Guinea,11-02-15,2674,0,,,,,Guinea,13-02-15,1659,8,,,,,,,,,,,,
Guinea,12-02-15,2685,11,,,,,Guinea,16-02-15,1678,19,,,,,,,,,,,,
Guinea,13-02-15,2693,8,,,,,Guinea,17-02-15,1683,5,,,,,,,,,,,,
Guinea,16-02-15,2720,27,,,,,Guinea,18-02-15,1683,0,,,,,,,,,,,,
Guinea,17-02-15,2727,7,,,,,Guinea,19-02-15,1686,3,,,,,,,,,,,,
Guinea,18-02-15,2727,0,,,,,Guinea,20-02-15,1688,2,,,,,,,,,,,,
Guinea,19-02-15,2732,5,,,,,Guinea,23-02-15,1699,11,,,,,,,,,,,,
Guinea,20-02-15,2734,2,,,,,Guinea,25-02-15,1704,5,,,,,,,,,,,,
Guinea,23-02-15,2758,24,,,,,Guinea,26-02-15,1714,10,,,,,,,,,,,,
Guinea,25-02-15,2762,4,,,,,Guinea,27-02-15,1721,7,,,,,,,,,,,,
Guinea,26-02-15,2781,19,,,,,Guinea,02-03-15,1735,14,,,,,,,,,,,,
Guinea,27-02-15,2790,9,,,,,Guinea,04-03-15,1735,0,,,,,,,,,,,,
Guinea,02-03-15,2808,18,,,,,Guinea,05-03-15,1749,14,,,,,,,,,,,,
Guinea,04-03-15,2808,0,,,,,Guinea,06-03-15,1755,6,,,,,,,,,,,,
Guinea,05-03-15,2833,25,,,,,Guinea,10-03-15,1778,23,,,,,,,,,,,,
Guinea,06-03-15,2840,7,,,,,Guinea,11-03-15,1778,0,,,,,,,,,,,,
Guinea,10-03-15,2871,31,,,,,Guinea,12-03-15,1792,14,,,,,,,,,,,,
Guinea,11-03-15,2871,0,,,,,Guinea,13-03-15,1797,5,,,,,,,,,,,,
Guinea,12-03-15,2901,30,,,,,Guinea,16-03-15,1821,24,,,,,,,,,,,,
Guinea,13-03-15,2911,10,,,,,Guinea,17-03-15,1829,8,,,,,,,,,,,,
Guinea,16-03-15,2957,46,,,,,Guinea,18-03-15,1829,0,,,,,,,,,,,,
Guinea,17-03-15,2966,9,,,,,Guinea,20-03-15,1846,17,,,,,,,,,,,,
Guinea,18-03-15,2966,0,,,,,Guinea,23-03-15,1863,17,,,,,,,,,,,,
Guinea,20-03-15,2988,22,,,,,Guinea,24-03-15,1865,2,,,,,,,,,,,,
Guinea,23-03-15,3007,19,,,,,Guinea,25-03-15,1865,0,,,,,,,,,,,,
Guinea,24-03-15,3011,4,,,,,Guinea,26-03-15,1875,10,,,,,,,,,,,,
Guinea,25-03-15,3011,0,,,,,Guinea,27-03-15,1878,3,,,,,,,,,,,,
Guinea,26-03-15,3032,21,,,,,Guinea,07-04-15,1919,41,,,,,,,,,,,,
Guinea,27-03-15,3042,10,,,,,Guinea,09-04-15,1921,2,,,,,,,,,,,,
Guinea,07-04-15,3089,47,,,,,Guinea,13-04-15,1928,7,,,,,,,,,,,,
Guinea,09-04-15,3093,4,,,,,Guinea,14-04-15,1932,4,,,,,,,,,,,,
Guinea,13-04-15,3112,19,,,,,Guinea,15-04-15,1932,0,,,,,,,,,,,,
Guinea,14-04-15,3117,5,,,,,Guinea,16-04-15,1934,2,,,,,,,,,,,,
Guinea,15-04-15,3117,0,,,,,Guinea,17-04-15,1937,3,,,,,,,,,,,,
Guinea,16-04-15,3124,7,,,,,Guinea,20-04-15,1942,5,,,,,,,,,,,,
Guinea,17-04-15,3126,2,,,,,Guinea,21-04-15,1943,1,,,,,,,,,,,,
